current step: ; products indexed count: 100

current step: ; products indexed count: 200

current step: ; products indexed count: 300

current step: ; products indexed count: 400

current step: ; products indexed count: 500

current step: ; products indexed count: 600

current step: ; products indexed count: 700

current step: ; products indexed count: 800

current step: ; products indexed count: 900

current step: ; products indexed count: 1000

current step: ; products indexed count: 1100

current step: ; products indexed count: 1200

current step: ; products indexed count: 1300

current step: ; products indexed count: 1400

current step: ; products indexed count: 1500

current step: ; products indexed count: 1600

current step: ; products indexed count: 1700

current step: ; products indexed count: 1800

current step: ; products indexed count: 1900

current step: ; products indexed count: 2000

current step: ; products indexed count: 2100

current step: ; products indexed count: 2200

current step: ; products indexed count: 2300

current step: ; products indexed count: 2400

current step: ; products indexed count: 2500

current step: ; products indexed count: 2600

current step: ; products indexed count: 2700

current step: ; products indexed count: 2800

current step: ; products indexed count: 2900

current step: ; products indexed count: 3000

current step: ; products indexed count: 3100

current step: ; products indexed count: 3200

current step: ; products indexed count: 3300

current step: ; products indexed count: 3400

current step: ; products indexed count: 3500

current step: ; products indexed count: 3600

current step: ; products indexed count: 3700

current step: ; products indexed count: 3800

current step: ; products indexed count: 3900

current step: ; products indexed count: 4000

current step: ; products indexed count: 4100

current step: ; products indexed count: 4200

current step: ; products indexed count: 4300

current step: ; products indexed count: 4400

current step: ; products indexed count: 4500

current step: ; products indexed count: 4600

current step: ; products indexed count: 4700

current step: ; products indexed count: 4800

current step: ; products indexed count: 4900

current step: ; products indexed count: 5000

current step: ; products indexed count: 5100

current step: ; products indexed count: 5200

current step: ; products indexed count: 5300

current step: ; products indexed count: 5400

current step: ; products indexed count: 5500

current step: ; products indexed count: 5600

current step: ; products indexed count: 5700

current step: ; products indexed count: 5800

current step: ; products indexed count: 5900

current step: ; products indexed count: 6000

current step: ; products indexed count: 6100

current step: ; products indexed count: 6200

current step: ; products indexed count: 6300

current step: ; products indexed count: 6400

current step: ; products indexed count: 6500

current step: ; products indexed count: 6600

current step: ; products indexed count: 6700

current step: ; products indexed count: 6800

current step: ; products indexed count: 6900

current step: ; products indexed count: 7000

current step: ; products indexed count: 7100

current step: ; products indexed count: 7200

current step: ; products indexed count: 7300

current step: ; products indexed count: 7400

current step: ; products indexed count: 7500

current step: ; products indexed count: 7600

current step: ; products indexed count: 7700

current step: ; products indexed count: 7800

current step: ; products indexed count: 7900

current step: ; products indexed count: 8000

current step: ; products indexed count: 8100

current step: ; products indexed count: 8200

current step: ; products indexed count: 8300

current step: ; products indexed count: 8400

current step: ; products indexed count: 8500

current step: ; products indexed count: 8600

current step: ; products indexed count: 8700

current step: ; products indexed count: 8800

current step: ; products indexed count: 8900

current step: ; products indexed count: 9000

current step: ; products indexed count: 9100

current step: ; products indexed count: 9200

current step: ; products indexed count: 9300

current step: ; products indexed count: 9400

current step: ; products indexed count: 9500

current step: ; products indexed count: 9600

current step: ; products indexed count: 9700

current step: ; products indexed count: 9800

current step: ; products indexed count: 9900

current step: ; products indexed count: 10000

current step: ; products indexed count: 10100

current step: ; products indexed count: 10200

current step: ; products indexed count: 10300

current step: ; products indexed count: 10400

current step: ; products indexed count: 10500

current step: ; products indexed count: 10600

current step: ; products indexed count: 10700

current step: ; products indexed count: 10800

current step: ; products indexed count: 10900

current step: ; products indexed count: 11000

current step: ; products indexed count: 11100

current step: ; products indexed count: 11200

current step: ; products indexed count: 11300

current step: ; products indexed count: 11400

current step: ; products indexed count: 11500

current step: ; products indexed count: 11600

current step: ; products indexed count: 11700

current step: ; products indexed count: 11800

current step: ; products indexed count: 11900

current step: ; products indexed count: 12000

current step: ; products indexed count: 12100

current step: ; products indexed count: 12200

current step: ; products indexed count: 12300

current step: ; products indexed count: 12400

current step: ; products indexed count: 12500

current step: ; products indexed count: 12600

current step: ; products indexed count: 12700

current step: ; products indexed count: 12800

current step: ; products indexed count: 12900

current step: ; products indexed count: 13000

current step: ; products indexed count: 13100

current step: ; products indexed count: 13200

current step: ; products indexed count: 13300

current step: ; products indexed count: 13400

current step: ; products indexed count: 13500

current step: ; products indexed count: 13600

current step: ; products indexed count: 13700

current step: ; products indexed count: 13800

current step: ; products indexed count: 13900

current step: ; products indexed count: 14000

current step: ; products indexed count: 14100

current step: ; products indexed count: 14200

current step: ; products indexed count: 14300

current step: ; products indexed count: 14400

current step: ; products indexed count: 14500

current step: ; products indexed count: 14600

current step: ; products indexed count: 14700

current step: ; products indexed count: 14800

current step: ; products indexed count: 14900

current step: ; products indexed count: 15000

current step: ; products indexed count: 15100

current step: ; products indexed count: 15200

current step: ; products indexed count: 15300

current step: ; products indexed count: 15400

current step: ; products indexed count: 15500

current step: ; products indexed count: 15600

current step: ; products indexed count: 15700

current step: ; products indexed count: 15800

current step: ; products indexed count: 15900

current step: ; products indexed count: 16000

current step: ; products indexed count: 16100

current step: ; products indexed count: 16200

current step: ; products indexed count: 16300

current step: ; products indexed count: 16400

current step: ; products indexed count: 16500

current step: ; products indexed count: 16600

current step: ; products indexed count: 16700

current step: ; products indexed count: 16800

current step: ; products indexed count: 16900

current step: ; products indexed count: 17000

current step: ; products indexed count: 17100

current step: ; products indexed count: 17200

current step: ; products indexed count: 17300

current step: ; products indexed count: 17400

current step: ; products indexed count: 17500

current step: ; products indexed count: 17600

current step: ; products indexed count: 17700

current step: ; products indexed count: 17800

current step: ; products indexed count: 17900

current step: ; products indexed count: 18000

current step: ; products indexed count: 18100

current step: ; products indexed count: 18200

current step: ; products indexed count: 18300

current step: ; products indexed count: 18400

current step: ; products indexed count: 18500

current step: ; products indexed count: 18600

